item_nm,cost,item_dtl_dv,tier,dmg,dfs,cri,accuracy_rate,point_rate,weight,speed,ctype,stype1,stype2,clyn,order,img_src,illegal,size,_id
[CL] M4A1 M203,0,µπ∞›º“√—,5,351,0,14,0.37,0.45,75,240,1,1,1,Y,32,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/181.gif,N,TEST,5b4709f049f2612ca8c8bf7c
[CL] K2,0,µπ∞›º“√—,5,922,0,16,0.38,0.5,60,300,1,1,1,Y,33,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/104.gif,N,TEST,5b4709f049f2612ca8c8bf7d
[CL] MP5/A10,0,±‚∞¸√—,5,837,0,15,0.39,0.65,45,300,1,1,1,Y,34,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4025.gif,N,TEST,5b4709f049f2612ca8c8bf7e
[CL] H&K MSG90,0,¿˙∞›º“√—,5,8203,0,17,0.48,0.8,63,23,1,1,1,Y,35,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4007.gif,N,TEST,5b4709f049f2612ca8c8bf7f
[CL] »≠ø∞πÊªÁ±‚/Hotdog,0,¡ﬂ»≠±‚,5,390,0,8,0.18,0.23,90,300,1,1,1,Y,36,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/142.gif,N,TEST,5b4709f049f2612ca8c8bf80
[CL] Desert Eagle 44,0,±«√—,5,4900,0,21,0.33,0.55,35,29,1,1,1,Y,37,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/247.gif,N,TEST,5b4709f049f2612ca8c8bf81
[CL] RPK,0,¡ˆø¯»≠±‚,5,1177,0,18,0.26,0.4,68,400,1,1,1,Y,39,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4012.gif,N,TEST,5b4709f049f2612ca8c8bf82
[CL] Western Custom M37,0,º¶∞«,5,1149,0,21,0.25,0.25,70,29,1,1,1,Y,40,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4033.gif,N,TEST,5b4709f049f2612ca8c8bf83
[CL] Franchi GL40,0,¡ﬂ»≠±‚,5,208,0,8,0.22,0.3,70,19,1,1,1,Y,42,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/253.gif,N,TEST,5b4709f049f2612ca8c8bf84
[CL] OICW/HEAT,0,µπ∞›º“√—,6,410,0,13,0.3,0.6,83,300,1,1,1,Y,45,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/205.gif,N,TEST,5b4709f049f2612ca8c8bf85
[CL] OICW/AntiTank,0,µπ∞›º“√—,6,365,0,13,0.3,0.6,83,300,1,1,1,Y,46,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/205.gif,N,TEST,5b4709f049f2612ca8c8bf86
[CL] M89/SR,0,¿˙∞›º“√—,6,16486,0,16,0.38,0.85,65,23,1,1,1,Y,47,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/169.gif,N,TEST,5b4709f049f2612ca8c8bf87
[CL] Desert Eagle 50AE,0,±«√—,6,9881,0,19,0.33,0.5,40,29,1,1,1,Y,48,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/247.gif,N,TEST,5b4709f049f2612ca8c8bf88
[CL] FN-P90,0,±‚∞¸√—,6,1325,0,15,0.35,0.8,49,400,1,1,1,Y,49,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4006.gif,N,TEST,5b4709f049f2612ca8c8bf89
[CL] Rapid Blaster,0,º¶∞«,6,849,0,18,0.23,0.25,80,240,1,1,1,Y,50,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/256.gif,N,TEST,5b4709f049f2612ca8c8bf8a
[CL] Flame Eater 120cc,0,¡ﬂ»≠±‚,6,672,0,7,0.15,0.2,105,300,1,1,1,Y,51,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4093-2.gif,N,TEST,5b4709f049f2612ca8c8bf8b
[CL] AT-1,0,¡ﬂ»≠±‚,6,486,0,10,0.15,0.55,130,9,1,1,1,Y,53,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/220.gif,N,TEST,5b4709f049f2612ca8c8bf8c
[CL] RPKs-74,0,¡ˆø¯»≠±‚,6,2434,0,17,0.25,0.35,75,400,1,1,1,Y,55,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4020.gif,N,TEST,5b4709f049f2612ca8c8bf8d
[CL] M89/SR Custom Rifle,0,¿˙∞›º“√—,7,20628,0,16,0.35,0.9,65,23,1,1,1,Y,56,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4087.gif,N,TEST,5b4709f049f2612ca8c8bf8e
[CL] S&W M29 44Magnum,0,±«√—,7,12372,0,18,0.3,0.45,45,29,1,1,1,Y,59,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4105.gif,N,TEST,5b4709f049f2612ca8c8bf8f
[CL] Remington M870 Super Magnum,0,º¶∞«,7,2994,0,18,0.2,0.2,95,29,1,1,1,Y,60,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4071.gif,N,TEST,5b4709f049f2612ca8c8bf90
[CL] Flame Eater 240cc,0,¡ﬂ»≠±‚,7,860,0,6,0.14,0.18,120,300,1,1,1,Y,61,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4093-2.gif,N,TEST,5b4709f049f2612ca8c8bf91
