item_nm,cost,item_dtl_dv,tier,dmg,dfs,cri,accuracy_rate,point_rate,weight,speed,ctype,stype1,stype2,clyn,order,img_src,illegal,size,_id
[CL] 악마의 제복,0,코스튬,1,2,12,0,0,0,0,0,3,,1,Y,1,/resource/img/CB037.gif,N,,5b4d4b6bdd0ce9475024df72
[CL] 악마의 제복 +1,0,코스튬,2,4,14,0,0,0,0,0,3,,1,Y,2,/resource/img/CB037.gif,N,,5b4d4b6bdd0ce9475024df73
[CL] 악마의 제복 +2,0,코스튬,3,6,16,0,0,0,0,0,3,,1,Y,3,/resource/img/CB037.gif,N,,5b4d4b6bdd0ce9475024df74
[CL] 악마의 제복 +3,0,코스튬,4,8,18,0,0,0,0,0,3,,1,Y,4,/resource/img/CB037.gif,N,,5b4d4b6bdd0ce9475024df75
[CL] 악마의 제복 +4,0,코스튬,5,10,20,0,0,0,0,0,3,,1,Y,5,/resource/img/CB037.gif,N,,5b4d4b6bdd0ce9475024df76
[CL] 악마의 제복 +5,0,코스튬,6,12,22,0,0,0,0,0,3,,1,Y,6,/resource/img/CB037.gif,N,,5b4d4b6bdd0ce9475024df77
[CL] 악마의 제복 +6,0,코스튬,7,14,24,0,0,0,0,0,3,,1,Y,7,/resource/img/CB037.gif,N,,5b4d4b6bdd0ce9475024df78
[CL] 악마의 제복 +7,0,코스튬,8,17,26,0,0,0,0,0,3,,1,Y,8,/resource/img/CB037.gif,N,,5b4d4b6bdd0ce9475024df79
[CL] 악마의 제복 +8,0,코스튬,9,20,28,0,0,0,0,0,3,,1,Y,9,/resource/img/CB037.gif,N,,5b4d4b6bdd0ce9475024df7a
[CL] 악마의 제복 +9,0,코스튬,10,23,30,0,0,0,0,0,3,,1,Y,10,/resource/img/CB037.gif,N,,5b4d4b6bdd0ce9475024df7b
[CL] 천사의 드레스,0,코스튬,1,2,12,0,0,0,0,0,3,,2,Y,1,/resource/img/CB038.gif,N,,5b4d4b6bdd0ce9475024df7c
[CL] 천사의 드레스 +1,0,코스튬,2,4,14,0,0,0,0,0,3,,2,Y,2,/resource/img/CB038.gif,N,,5b4d4b6bdd0ce9475024df7d
[CL] 천사의 드레스 +2,0,코스튬,3,6,16,0,0,0,0,0,3,,2,Y,3,/resource/img/CB038.gif,N,,5b4d4b6bdd0ce9475024df7e
[CL] 천사의 드레스 +3,0,코스튬,4,8,18,0,0,0,0,0,3,,2,Y,4,/resource/img/CB038.gif,N,,5b4d4b6bdd0ce9475024df7f
[CL] 천사의 드레스 +4,0,코스튬,5,10,20,0,0,0,0,0,3,,2,Y,5,/resource/img/CB038.gif,N,,5b4d4b6bdd0ce9475024df80
[CL] 천사의 드레스 +5,0,코스튬,6,12,22,0,0,0,0,0,3,,2,Y,6,/resource/img/CB038.gif,N,,5b4d4b6bdd0ce9475024df81
[CL] 천사의 드레스 +6,0,코스튬,7,14,24,0,0,0,0,0,3,,2,Y,7,/resource/img/CB038.gif,N,,5b4d4b6bdd0ce9475024df82
[CL] 천사의 드레스 +7,0,코스튬,8,17,26,0,0,0,0,0,3,,2,Y,8,/resource/img/CB038.gif,N,,5b4d4b6bdd0ce9475024df83
[CL] 천사의 드레스 +8,0,코스튬,9,20,28,0,0,0,0,0,3,,2,Y,9,/resource/img/CB038.gif,N,,5b4d4b6bdd0ce9475024df84
[CL] 천사의 드레스 +9,0,코스튬,10,23,30,0,0,0,0,0,3,,2,Y,10,/resource/img/CB038.gif,N,,5b4d4b6bdd0ce9475024df85
