item_nm,cost,item_dtl_dv,tier,dmg,dfs,cri,accuracy_rate,point_rate,weight,speed,ctype,stype1,stype2,clyn,order,img_src,illegal,size
[CL] M4A1 M203,5500000,µπ∞›º“√—,5,351,0,14,0.37,0.45,75,240,1,1,1,N,32,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/181.gif,N,TEST
[CL] K2,6150000,µπ∞›º“√—,5,922,0,16,0.38,0.5,60,300,1,1,1,N,33,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/104.gif,N,TEST
[CL] MP5/A10,7000000,±‚∞¸√—,5,837,0,15,0.39,0.65,45,300,1,1,1,N,34,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4025.gif,N,TEST
[CL] H&K MSG90,7480000,¿˙∞›º“√—,5,8203,0,17,0.48,0.8,63,23,1,1,1,N,35,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4007.gif,N,TEST
[CL] »≠ø∞πÊªÁ±‚/Hotdog,8125600,¡ﬂ»≠±‚,5,390,0,8,0.18,0.23,90,300,1,1,1,N,36,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/142.gif,N,TEST
[CL] Desert Eagle 44,9300000,±«√—,5,4900,0,21,0.33,0.55,35,29,1,1,1,N,37,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/247.gif,N,TEST
[CL] RPK,11760000,¡ˆø¯»≠±‚,5,1177,0,18,0.26,0.4,68,400,1,1,1,N,39,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4012.gif,N,TEST
[CL] Western Custom M37,15200000,º¶∞«,5,1149,0,21,0.25,0.25,70,29,1,1,1,N,40,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4033.gif,N,TEST
[CL] Franchi GL40,19800000,¡ﬂ»≠±‚,5,208,0,8,0.22,0.3,70,19,1,1,1,N,42,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/253.gif,N,TEST
[CL] OICW/HEAT,34800000,µπ∞›º“√—,6,410,0,13,0.3,0.6,83,300,1,1,1,N,45,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/205.gif,N,TEST
[CL] OICW/AntiTank,34800000,µπ∞›º“√—,6,365,0,13,0.3,0.6,83,300,1,1,1,N,46,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/205.gif,N,TEST
[CL] M89/SR,35800000,¿˙∞›º“√—,6,16486,0,16,0.38,0.85,65,23,1,1,1,N,47,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/169.gif,N,TEST
[CL] Desert Eagle 50AE,42800000,±«√—,6,9881,0,19,0.33,0.5,40,29,1,1,1,N,48,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/247.gif,N,TEST
[CL] FN-P90,48000000,±‚∞¸√—,6,1325,0,15,0.35,0.8,49,400,1,1,1,N,49,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4006.gif,N,TEST
[CL] Rapid Blaster,55300000,º¶∞«,6,849,0,18,0.23,0.25,80,240,1,1,1,N,50,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/256.gif,N,TEST
[CL] Flame Eater 120cc,62250000,¡ﬂ»≠±‚,6,672,0,7,0.15,0.2,105,300,1,1,1,N,51,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/4093-2.gif,N,TEST
[CL] AT-1,72500000,¡ﬂ»≠±‚,6,486,0,10,0.15,0.55,130,9,1,1,1,N,53,http://image.mgame.com/mgamezzang/games/eternalcity_cms/attack/220.gif,N,TEST
